taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Callicarpa,,Callicarpa,Lamiaceae,,,Callicarpa,,,,unknown,BestMatch,9.41215,Exact,0,Callicarpa,"Callicarpa Fewkes, 1881",Callicarpa,7NRKR,"Callicarpa Fewkes, 1881",false,1,Catalogue of Life,Eukaryota|Animalia|Cnidaria|Hydrozoa|Hydroidolina|Leptothecata|Plumularioidea|Plumulariidae|Callicarpa,
Cercidiphyllum,,Cercidiphyllum,Cercidiphyllaceae,,,Cercidiphyllum,,,,unknown,BestMatch,9.41215,Exact,0,Cercidiphyllum,Cercidiphyllum Siebold & Zucc.,Cercidiphyllum,3KYZ,Cercidiphyllum Siebold & Zucc.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Cercidiphyllaceae|Cercidiphyllum,
Decaisnea,,Decaisnea,Lardizabalaceae,,,Decaisnea,,,,unknown,BestMatch,9.41215,Exact,0,Decaisnea,Decaisnea Hook.fil. & Thomson,Decaisnea,42B5,Decaisnea Hook.fil. & Thomson,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Lardizabalaceae|Lardizabaloideae|Decaisnea,
Actinidia,,Actinidia,Actinidiaceae,,,Actinidia,,,,unknown,BestMatch,9.41215,Exact,0,Actinidia,Actinidia Lindl.,Actinidia,NNN,Actinidia Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Actinidioideae|Actinidia,
Ehretia,,Ehretia,Boraginaceae,,,Ehretia,,,,unknown,BestMatch,9.41215,Exact,0,Ehretia,Ehretia P.Browne,Ehretia,62QNZ,Ehretia P.Browne,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Ehretiaceae|Ehretia,
Davidia,,Davidia,Nyssaceae,,,Davidia,,,,unknown,BestMatch,9.41215,Exact,0,Davidia,Davidia Baill.,Davidia,8VWRQ,Davidia Baill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cornales|Nyssaceae|Davidioideae|Davidia,
Dipelta,,Dipelta,Caprifoliaceae,,,Dipelta,,,,unknown,BestMatch,9.41215,Exact,0,Dipelta,Dipelta Maxim.,Dipelta,462V,Dipelta Maxim.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Linnaeoideae|Dipelta,
Furcraea,,Furcraea,Asparagaceae,,,Furcraea,,,,unknown,BestMatch,9.41215,Exact,0,Furcraea,Furcraea Vent.,Furcraea,8VXQR,Furcraea Vent.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Furcraea,
Fatsia,,Fatsia,Araliaceae,,,Fatsia,,,,unknown,BestMatch,9.41215,Exact,0,Fatsia,Fatsia Decne. & Planch.,Fatsia,8VXNF,Fatsia Decne. & Planch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Aralioideae|Panaceae|Fatsia,
Morus,,Morus,Moraceae,,,Morus,,,,unknown,BestMatch,9.41215,Exact,0,Morus,Morus L.,Morus,5VCQ,Morus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Moreae|Morus,
Pterostyrax,,Pterostyrax,Styracaceae,,,Pterostyrax,,,,unknown,BestMatch,9.41215,Exact,0,Pterostyrax,Pterostyrax Siebold & Zucc.,Pterostyrax,74VW,Pterostyrax Siebold & Zucc.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Styracaceae|Pterostyrax,
Clerodendrum,,Clerodendrum,Lamiaceae,,,Clerodendrum,,,,unknown,BestMatch,9.41215,Exact,0,Clerodendrum,Clerodendrum L.,Clerodendrum,8VWBC,Clerodendrum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Ajugoideae|Clerodendreae|Clerodendrum,
Waldsteinia,,Waldsteinia,Rosaceae,,,Waldsteinia,,,,unknown,BestMatch,9.41180,Exact,0,Waldsteinia,Waldsteinia Willd.,Waldsteinia,CR7TN|6356B|CR7TN,Geum L.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Colurieae|Geum,
Weigela,,Weigela,Caprifoliaceae,,,Weigela,,,,unknown,BestMatch,9.41215,Exact,0,Weigela,Weigela Thunb.,Weigela,87QK,Weigela Thunb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Diervilloideae|Weigela,
Tilia,,Tilia,Malvaceae,,,Tilia,,,,unknown,BestMatch,9.41215,Exact,0,Tilia,Tilia L.,Tilia,7WX3,Tilia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Tilioideae|Tilieae|Tilia,
Celastrus,,Celastrus,Celastraceae,,,Celastrus,,,,unknown,BestMatch,9.41215,Exact,0,Celastrus,Celastrus L.,Celastrus,3JYC,Celastrus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Celastrales|Celastraceae|Celastroideae|Celastreae|Celastrus,
Wisteria,,Wisteria,Fabaceae,,,Wisteria,,,,unknown,BestMatch,9.41215,Exact,0,Wisteria,Wisteria Nutt.,Wisteria,9CMFZ,Wisteria Nutt.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Wisteria,
