scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Biston,higher_taxon,genus,path_depth,4,11,11,Biston suppressaria,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Geometroidea|Geometridae|Ennominae|Biston|Biston suppressaria
Bistorta,higher_taxon,genus,path_depth,8,11,11,Bistorta vacciniifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Polygonoideae|Persicarieae|Bistorta|Bistorta vacciniifolia
Blakella,higher_taxon,genus,path_depth,1,11,11,Corymbia citriodora,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Myrtoideae|Eucalypteae|Blakella|Blakella citriodora
Blastobasini,higher_taxon,tribe,suffix,1,11,11,Blastobasis glandulella,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Lepidoptera|Gelechioidea|Blastobasidae|Blastobasinae|Blastobasini|Blastobasis|Blastobasis glandulella
Blastobasis,higher_taxon,genus,path_depth,2,11,12,Blastobasis tarda,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Gelechioidea|Blastobasidae|Blastobasinae|Blastobasis|Blastobasis tarda
Blattinae,higher_taxon,subfamily,suffix,5,11,15,Periplaneta americana,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Polyneoptera|Blattodea|Blattoidea|Blattidae|Blattinae|Periplaneta|Periplaneta americana
Blechnopsis orientalis,higher_taxon,genus,path_depth,1,11,11,Blechnum orientale,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Blechnaceae|Blechnoideae|Blechnopsis|Blechnopsis orientalis
Blenina,higher_taxon,genus,path_depth,1,11,11,Blenina quinaria,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Noctuoidea|Nolidae|Bleninae|Blenina|Blenina quinaria
Blennocampinae,higher_taxon,subfamily,suffix,3,11,11,Halidamia affinis,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Hymenoptera|Symphyta|Tenthredinoidea|Tenthredinidae|Blennocampinae|Waldheimiini|Halidamia|Halidamia affinis
Boarmiini,higher_taxon,tribe,suffix,4,11,11,Milionia zonea,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Lepidoptera|Geometroidea|Geometridae|Ennominae|Boarmiini|Milionia|Milionia zonea
Boehmeriinae,higher_taxon,subfamily,suffix,6,11,11,Debregeasia longifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Urticaceae|Urticoideae|Boehmerieae|Boehmeriinae|Debregeasia|Debregeasia longifolia
Boletobiini,higher_taxon,tribe,suffix,2,11,11,Diomea cremata,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Lepidoptera|Noctuoidea|Erebidae|Boletobiinae|Boletobiini|Diomea|Diomea cremata
Bombax,higher_taxon,genus,path_depth,1,11,11,Bombax ceiba,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Bombacoideae|Bombaceae|Bombax|Bombax ceiba
Bombylius,higher_taxon,genus,path_depth,1,11,12,Bombylius major,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Diptera|Bombyliidae|Bombyliinae|Bombyliini|Bombylius|Bombylius|Bombylius major
Bombyx,higher_taxon,genus,path_depth,2,11,11,Bombyx mandarina,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Bombycoidea|Bombycidae|Bombycinae|Bombyx|Bombyx mandarina
Boragininae,higher_taxon,subfamily,suffix,2,11,11,Symphytum officinale,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Boraginoideae|Boragineae|Boragininae|Symphytum|Symphytum officinale
Boroniinae,higher_taxon,subfamily,suffix,1,11,11,Acronychia pedunculata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Rutaceae|Zanthoxyloideae|Zanthoxyleae|Boroniinae|Acronychia|Acronychia pedunculata
Borreria,higher_taxon,genus,path_depth,2,11,11,Spermacoce exilis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Rubioideae|Spermacoceae|Borreria|Borreria gracilis
Boschniakia himalaica,higher_taxon,genus,path_depth,1,11,11,Xylanche himalaica,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Orobanchaceae|Orobancheae|Boschniakia|Boschniakia himalaica
Bosmania,higher_taxon,genus,path_depth,2,11,11,Bosmania membranacea,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Polypodiaceae|Microsoroideae|Lecanoptereae|Bosmania|Bosmania membranacea
Bostrichidae,higher_taxon,family,suffix,2,11,11,Lichenophanes bicornis,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Polyphaga|Bostrichiformia|Bostrichoidea|Bostrichidae|Bostrichinae|Bostrichini|Lichenophanes|Lichenophanes bicornis
Bothriosperminae,higher_taxon,subfamily,suffix,1,11,11,Bothriospermum zeylanicum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Cynoglossoideae|Cynoglosseae|Bothriosperminae|Bothriospermum|Bothriospermum zeylanicum
Botyodes,higher_taxon,genus,path_depth,2,11,11,Botyodes asialis,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Pyraloidea|Crambidae|Spilomelinae|Botyodes|Botyodes asialis
Brachinini,higher_taxon,tribe,suffix,3,11,11,Pheropsophus javanus,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Adephaga|Carabidae|Brachininae|Brachinini|Pheropsophus|Pheropsophus|Pheropsophus javanus
Brachyceridae,higher_taxon,family,suffix,1,11,11,Desmidophorus funebris,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Brachyceridae|Desmidophorus|Desmidophorus funebris
