scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Coelastrum,higher_taxon,higher_taxon,fallback,1,3,3,Coelastrum astroideum,Scenedesmaceae|Coelastrum|Coelastrum astroideum,BestMatch,9.41215,Exact,0,Coelastrum,"Coelastrum Nägeli, 1849",Coelastrum,3RTH,"Coelastrum Nägeli, 1849",false,1,Catalogue of Life,Eukaryota|Plantae|Chlorophyta|Chlorophytina|Chlorophyceae|Sphaeropleales|Scenedesmaceae|Coelastrum,
Coriariaceae,higher_taxon,family,suffix,1,3,3,Coriaria nepalensis,Cucurbitales|Coriariaceae|Coriaria|Coriaria nepalensis,BestMatch,9.41215,Exact,0,Coriariaceae,Coriariaceae DC.,Coriariaceae,8KC,Coriariaceae DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales|Coriariaceae,
Dikarya,higher_taxon,higher_taxon,fallback,10,3,3,Physconia detersa,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Teloschistales|Physciaceae|Physconia|Physconia detersa,BestMatch,9.41145,Exact,0,Dikarya,Dikarya,Dikarya,936287,Dikarya,false,3,ITIS,Fungi|Dikarya,
Ericaceae,higher_taxon,family,suffix,52,3,8,Rhododendron arboreum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Ericoideae|Rhodoreae|Rhododendron|Rhododendron arboreum,BestMatch,9.41215,Exact,0,Ericaceae,Ericaceae Juss.,Ericaceae,623P8,Ericaceae Juss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae,
Euglenophycota,higher_taxon,higher_taxon,fallback,4,3,3,Trachelomonas hispida,Protozoa|Euglenophycota|Euglenophyceae|Euglenales|Euglenaceae|Trachelomonas|Trachelomonas hispida,BestMatch,9.41145,Exact,0,Euglenophycota,Euglenophycota,Euglenophycota,9601,Euglenophycota,false,3,ITIS,Protozoa|Euglenophycota,
Euglenozoa,higher_taxon,higher_taxon,fallback,1,3,3,Phacus circulatus,Protozoa|Euglenozoa|Euglenida|Euglenales|Phacaceae|Phacus|Phacus circulatus,BestMatch,9.41215,Exact,0,Euglenozoa,"Euglenozoa Cavalier-Smith, 1981",Euglenozoa,4B,"Euglenozoa Cavalier-Smith, 1981",false,1,Catalogue of Life,Eukaryota|Protozoa|Euglenozoa,
Harosa,higher_taxon,higher_taxon,fallback,12,3,3,Aulacoseira granulata,Chromista|Harosa|Halvaria|Heterokonta|Ochrophyta|Bacillariophyceae|Coscinodiscophycidae|Aulacoseirales|Aulacoseiraceae|Aulacoseira|Aulacoseira granulata,BestMatch,9.41145,Exact,0,Harosa,Harosa,Harosa,969910,Harosa,false,3,ITIS,Chromista|Harosa,
Insecta,higher_taxon,genus,path_depth,3638,3,8,Coccinella septempunctata,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea|Coccinellidae|Coccinellinae|Coccinellini|Coccinella|Coccinella septempunctata,BestMatch,9.41215,Exact,0,Insecta,Insecta,Insecta,H6,Insecta,false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta,
Magnoliaceae,higher_taxon,family,suffix,13,3,8,Magnolia campbellii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales|Magnoliaceae|Magnolioideae|Magnolia|Magnolia campbellii,BestMatch,9.41215,Exact,0,Magnoliaceae,Magnoliaceae Juss.,Magnoliaceae,Q3MV6,Magnoliaceae Juss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales|Magnoliaceae,
Negibacteria,higher_taxon,higher_taxon,fallback,1,3,3,Xanthomonas campestris,Bacteria|Negibacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas campestris,BestMatch,9.41145,Exact,0,Negibacteria,"Negibacteria Cavalier-Smith, 2002",Negibacteria,956096,"Negibacteria Cavalier-Smith, 2002",false,3,ITIS,Bacteria|Negibacteria,
