taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Festuca_arundinacea_Schreb,,Festuca_arundinacea_Schreb,Poaceae,,,Festuca arundinacea Schreb,,,,CH-0-NEU-20160012,,,,,Festuca arundinacea Schreb,,,,,,,,,
Festuca_ovina_aggr,,Festuca_ovina_aggr,Poaceae,,,Festuca ovina aggr,,,,CH-0-NEU-20160013,,,,,Festuca ovina aggr,,,,,,,,,
Festuca_laevigata_Gaudin,,Festuca_laevigata_Gaudin,Poaceae,,,Festuca laevigata Gaudin,,,,CH-0-NEU-20160014,,,,,Festuca laevigata Gaudin,,,,,,,,,
Festuca_heterophylla_Lam,,Festuca_heterophylla_Lam,Poaceae,,,Festuca heterophylla Lam,,,,CH-0-NEU-20160015,,,,,Festuca heterophylla Lam,,,,,,,,,
Festuca_arundinacea_Schreb,,Festuca_arundinacea_Schreb,Poaceae,,,Festuca arundinacea Schreb,,,,CH-0-NEU-20160016,,,,,Festuca arundinacea Schreb,,,,,,,,,
Festuca_pratensis_Huds_subsp_pratensis,,Festuca_pratensis_Huds_subsp_pratensis,Poaceae,,,Festuca pratensis Huds subsp pratensis,,,,CH-0-NEU-20160017,,,,,Festuca pratensis Huds subsp pratensis,,,,,,,,,
Festuca_laevigata_Gaudin,,Festuca_laevigata_Gaudin,Poaceae,,,Festuca laevigata Gaudin,,,,CH-0-NEU-20160018,,,,,Festuca laevigata Gaudin,,,,,,,,,
Festuca_gigantea_L_VilL,,Festuca_gigantea_L_VilL,Poaceae,,,Festuca gigantea L VilL,,,,CH-0-NEU-20160020,,,,,Festuca gigantea L VilL,,,,,,,,,
Festuca_violacea_Gaudin,,Festuca_violacea_Gaudin,Poaceae,,,Festuca violacea Gaudin,,,,CH-0-NEU-20160021,,,,,Festuca violacea Gaudin,,,,,,,,,
Festuca_rubra_L,,Festuca_rubra_L,Poaceae,,,Festuca rubra L,,,,CH-0-NEU-20160023,,,,,Festuca rubra L,,,,,,,,,
Festuca_ovina_aggr,,Festuca_ovina_aggr,Poaceae,,,Festuca ovina aggr,,,,CH-0-NEU-20160025,,,,,Festuca ovina aggr,,,,,,,,,
Festuca_nigrescens_Lam,,Festuca_nigrescens_Lam,Poaceae,,,Festuca nigrescens Lam,,,,CH-0-NEU-20160027,,,,,Festuca nigrescens Lam,,,,,,,,,
Patzkea_paniculata_L_G_H_Loos,,Patzkea_paniculata_L_G_H_Loos,Poaceae,,,Patzkea paniculata L G H Loos,,,,CH-0-NEU-20160030,,,,,Patzkea paniculata L G H Loos,,,,,,,,,
Ramonda_myconi_L_Rchb,,Ramonda_myconi_L_Rchb,Gesneriaceae,,,Ramonda myconi L Rchb,,,,ES-0-NEU-19940593,,,,,Ramonda myconi L Rchb,,,,,,,,,
Iris_graminea_L,,Iris_graminea_L,Iridaceae,,,Iris graminea L,,,,XX-0-NEU-19500115,,,,,Iris graminea L,,,,,,,,,
Festuca_gautieri_Hack_K_Richt,,Festuca_gautieri_Hack_K_Richt,Poaceae,,,Festuca gautieri Hack K Richt,,,,XX-0-BERN-1990098,,,,,Festuca gautieri Hack K Richt,,,,,,,,,
Silene_L,,Silene_L,Caryophyllaceae,,,Silene L,,,,XX-0-NEU-19500476,,,,,Silene L,,,,,,,,,
Dianthus_subacaulis_VilL,,Dianthus_subacaulis_VilL,Caryophyllaceae,,,Dianthus subacaulis VilL,,,,ES-0-NEU-20000217,,,,,Dianthus subacaulis VilL,,,,,,,,,
Saxifraga_juniperifolia_Adams,,Saxifraga_juniperifolia_Adams,Saxifragaceae,,,Saxifraga juniperifolia Adams,,,,XX-0-NEU-20160135,,,,,Saxifraga juniperifolia Adams,,,,,,,,,
Hypericum_olympicum_L,,Hypericum_olympicum_L,Hypericaceae,,,Hypericum olympicum L,,,,XX-0-NEU-19500477,,,,,Hypericum olympicum L,,,,,,,,,
Dianthus_arenarius_L,,Dianthus_arenarius_L,Caryophyllaceae,,,Dianthus arenarius L,,,,XX-0-G-19781061,,,,,Dianthus arenarius L,,,,,,,,,
Lilium_bulbiferum_subsp_croceum_Chaix_Baker,,Lilium_bulbiferum_subsp_croceum_Chaix_Baker,Liliaceae,,,Lilium bulbiferum subsp croceum Chaix Baker,,,,XX-0-NEU-19500478,,,,,Lilium bulbiferum subsp croceum Chaix Baker,,,,,,,,,
Plantago_sempervirens_Crantz,,Plantago_sempervirens_Crantz,Plantaginaceae,,,Plantago sempervirens Crantz,,,,ES-0-NEU-19920366,,,,,Plantago sempervirens Crantz,,,,,,,,,
Lavandula_angustifolia_MilL,,Lavandula_angustifolia_MilL,Lamiaceae,,,Lavandula angustifolia MilL,,,,ES-0-NEU-19920237,,,,,Lavandula angustifolia MilL,,,,,,,,,
Sempervivum_cantabricum_J_A_Huber_subsp_cantabricum,,Sempervivum_cantabricum_J_A_Huber_subsp_cantabricum,Crassulaceae,,,Sempervivum cantabricum J A Huber subsp cantabricum,,,,ES-0-NEU-19781217,,,,,Sempervivum cantabricum J A Huber subsp cantabricum,,,,,,,,,
Teucrium_lucidum_L,,Teucrium_lucidum_L,Lamiaceae,,,Teucrium lucidum L,,,,FR-0-NEU-19940472,,,,,Teucrium lucidum L,,,,,,,,,
Patzkea_paniculata_L_G_H_Loos,,Patzkea_paniculata_L_G_H_Loos,Poaceae,,,Patzkea paniculata L G H Loos,,,,ES-0-NEU-19940519,,,,,Patzkea paniculata L G H Loos,,,,,,,,,
Helleborus_lividus_subsp_corsicus_Briq_pFourn,,Helleborus_lividus_subsp_corsicus_Briq_pFourn,Ranunculaceae,,,Helleborus lividus subsp corsicus Briq pFourn,,,,XX-0-NEU-19930502,,,,,Helleborus lividus subsp corsicus Briq pFourn,,,,,,,,,
Juniperus_communis_subsp_nana_Syme,,Juniperus_communis_subsp_nana_Syme,Cupressaceae,,,Juniperus communis subsp nana Syme,,,,CH-0-NEU-19910422,,,,,Juniperus communis subsp nana Syme,,,,,,,,,
Stipa_celakovskyi_Martinovsky,,Stipa_celakovskyi_Martinovsky,Poaceae,,,Stipa celakovskyi Martinovsky,,,,ES-0-NEU-20170099,,,,,Stipa celakovskyi Martinovsky,,,,,,,,,
Sesleria_Scop,,Sesleria_Scop,Poaceae,,,Sesleria Scop,,,,HR-0-NEU-19980265,,,,,Sesleria Scop,,,,,,,,,
Hedera_helix_L,,Hedera_helix_L,Araliaceae,,,Hedera helix L,,,,XX-0-NEU-20120002,,,,,Hedera helix L,,,,,,,,,
Clematis_vitalba_L,,Clematis_vitalba_L,Ranunculaceae,,,Clematis vitalba L,,,,XX-0-NEU-20120003,,,,,Clematis vitalba L,,,,,,,,,
Pteridium_aquilinum_L_Kuhn,,Pteridium_aquilinum_L_Kuhn,Dennstaedtiaceae,,,Pteridium aquilinum L Kuhn,,,,XX-0-NEU-20120004,,,,,Pteridium aquilinum L Kuhn,,,,,,,,,
Rumex_hydrolapathum_Huds,,Rumex_hydrolapathum_Huds,Polygonaceae,,,Rumex hydrolapathum Huds,,,,CH-0-NEU-20160053,,,,,Rumex hydrolapathum Huds,,,,,,,,,
Dianthus_L,,Dianthus_L,Caryophyllaceae,,,Dianthus L,,,,XX-0-NEU-20160137,,,,,Dianthus L,,,,,,,,,
Campanula_jacquinii_Sieber_A_DC,,Campanula_jacquinii_Sieber_A_DC,Campanulaceae,,,Campanula jacquinii Sieber A DC,,,,XX-0-NEU-20160138,,,,,Campanula jacquinii Sieber A DC,,,,,,,,,
Linaria_simplex_Willd_DC,,Linaria_simplex_Willd_DC,Plantaginaceae,,,Linaria simplex Willd DC,,,,FR-0-NEU-19980249,,,,,Linaria simplex Willd DC,,,,,,,,,
Hieracium_villosum_Jacq,,Hieracium_villosum_Jacq,Compositae,,,Hieracium villosum Jacq,,,,FR-0-NEU-19940764,,,,,Hieracium villosum Jacq,,,,,,,,,
Geranium_nodosum_L,,Geranium_nodosum_L,Geraniaceae,,,Geranium nodosum L,,,,CH-0-NEU-19940197,,,,,Geranium nodosum L,,,,,,,,,
Molinia_caerulea_L_Moench,,Molinia_caerulea_L_Moench,Poaceae,,,Molinia caerulea L Moench,,,,CH-0-NEU-20170060,,,,,Molinia caerulea L Moench,,,,,,,,,
Tanacetum_corymbosum_L_Sch_Bip_subsp_corymbosum,,Tanacetum_corymbosum_L_Sch_Bip_subsp_corymbosum,Compositae,,,Tanacetum corymbosum L Sch Bip subsp corymbosum,,,,XX-0-NEU-19500479,,,,,Tanacetum corymbosum L Sch Bip subsp corymbosum,,,,,,,,,
Typha_angustifolia_L,,Typha_angustifolia_L,Typhaceae,,,Typha angustifolia L,,,,XX-0-NEU-19500113,,,,,Typha angustifolia L,,,,,,,,,
Biscutella_laevigata_L_subsp_laevigata,,Biscutella_laevigata_L_subsp_laevigata,Brassicaceae,,,Biscutella laevigata L subsp laevigata,,,,CH-0-NEU-20170057,,,,,Biscutella laevigata L subsp laevigata,,,,,,,,,
Daphne_alpina_L,,Daphne_alpina_L,Thymelaeaceae,,,Daphne alpina L,,,,XX-0-NEU-19500112,,,,,Daphne alpina L,,,,,,,,,
Pinus_sylvestris_L,,Pinus_sylvestris_L,Pinaceae,,,Pinus sylvestris L,,,,XX-0-NEU-19500111,,,,,Pinus sylvestris L,,,,,,,,,
Pulsatilla_rubra_Lam_Delarbre,,Pulsatilla_rubra_Lam_Delarbre,Ranunculaceae,,,Pulsatilla rubra Lam Delarbre,,,,FR-0-NEU-20040146,,,,,Pulsatilla rubra Lam Delarbre,,,,,,,,,
Spiraea_decumbens_subsp_tomentosa_Poech_Dost�l,,Spiraea_decumbens_subsp_tomentosa_Poech_Dost�l,Rosaceae,,,Spiraea decumbens subsp tomentosa Poech Dost�l,,,,IT-0-NEU-19960783,,,,,Spiraea decumbens subsp tomentosa Poech Dost�l,,,,,,,,,
Dianthus_gratianopolitanus_VilL,,Dianthus_gratianopolitanus_VilL,Caryophyllaceae,,,Dianthus gratianopolitanus VilL,,,,XX-0-NEU-19500110,,,,,Dianthus gratianopolitanus VilL,,,,,,,,,
Ephedra_helvetica_CA_Mey,,Ephedra_helvetica_CA_Mey,Ephedraceae,,,Ephedra helvetica CA Mey,,,,CH-0-NEU-19930264,,,,,Ephedra helvetica CA Mey,,,,,,,,,
Helianthemum_nummularium_L_MilL,,Helianthemum_nummularium_L_MilL,Cistaceae,,,Helianthemum nummularium L MilL,,,,XX-0-NEU-19500108,,,,,Helianthemum nummularium L MilL,,,,,,,,,
Iris_pseudacorus_L,,Iris_pseudacorus_L,Iridaceae,,,Iris pseudacorus L,,,,XX-0-NEU-19500096,,,,,Iris pseudacorus L,,,,,,,,,
Linum_tenuifolium_L,,Linum_tenuifolium_L,Linaceae,,,Linum tenuifolium L,,,,CH-0-NEU-20150069,,,,,Linum tenuifolium L,,,,,,,,,
Saxifraga_paniculata_MilL,,Saxifraga_paniculata_MilL,Saxifragaceae,,,Saxifraga paniculata MilL,,,,CH-0-NEU-20150047,,,,,Saxifraga paniculata MilL,,,,,,,,,
Trifolium_fragiferum_L,,Trifolium_fragiferum_L,Fabaceae,,,Trifolium fragiferum L,,,,CH-0-NEU-20160051,,,,,Trifolium fragiferum L,,,,,,,,,
Dorycnium_pentaphyllum_Scop,,Dorycnium_pentaphyllum_Scop,Fabaceae,,,Dorycnium pentaphyllum Scop,,,,FR-0-NEU-20130001,,,,,Dorycnium pentaphyllum Scop,,,,,,,,,
Saxifraga_hostii_Tausch_subsp_hostii,,Saxifraga_hostii_Tausch_subsp_hostii,Saxifragaceae,,,Saxifraga hostii Tausch subsp hostii,,,,XX-0-NEU-20160050,,,,,Saxifraga hostii Tausch subsp hostii,,,,,,,,,
Elaeis_guineensis_Jacq,,Elaeis_guineensis_Jacq,Arecaceae,,,Elaeis guineensis Jacq,,,,XX-0-G-20211601,,,,,Elaeis guineensis Jacq,,,,,,,,,
Bupleurum_ranunculoides_L_subsp_ranunculoides,,Bupleurum_ranunculoides_L_subsp_ranunculoides,Apiaceae,,,Bupleurum ranunculoides L subsp ranunculoides,,,,CH-0-NEU-20170053,,,,,Bupleurum ranunculoides L subsp ranunculoides,,,,,,,,,
Cytisus_decumbens_Durande_Spach,,Cytisus_decumbens_Durande_Spach,Fabaceae,,,Cytisus decumbens Durande Spach,,,,XX-0-NEU-20160049,,,,,Cytisus decumbens Durande Spach,,,,,,,,,
Festuca_guestfalica_Boenn,,Festuca_guestfalica_Boenn,Poaceae,,,Festuca guestfalica Boenn,,,,XX-0-NEU-20160048,,,,,Festuca guestfalica Boenn,,,,,,,,,
Anthyllis_vulneraria_L_subsp_vulneraria,,Anthyllis_vulneraria_L_subsp_vulneraria,Fabaceae,,,Anthyllis vulneraria L subsp vulneraria,,,,CH-0-NEU-20150065,,,,,Anthyllis vulneraria L subsp vulneraria,,,,,,,,,
Paronychia_kapela_subsp_serpyllifolia_Chaix_Graebn,,Paronychia_kapela_subsp_serpyllifolia_Chaix_Graebn,Caryophyllaceae,,,Paronychia kapela subsp serpyllifolia Chaix Graebn,,,,ES-0-NEU-19871000,,,,,Paronychia kapela subsp serpyllifolia Chaix Graebn,,,,,,,,,
Koeleria_vallesiana_Honck_Gaudin,,Koeleria_vallesiana_Honck_Gaudin,Poaceae,,,Koeleria vallesiana Honck Gaudin,,,,CH-0-NEU-20160047,,,,,Koeleria vallesiana Honck Gaudin,,,,,,,,,
Potentilla_recta_L,,Potentilla_recta_L,Rosaceae,,,Potentilla recta L,,,,CH-0-NEU-20150113,,,,,Potentilla recta L,,,,,,,,,
Laserpitium_siler_L,,Laserpitium_siler_L,Apiaceae,,,Laserpitium siler L,,,,AT-0-KL-20163909,,,,,Laserpitium siler L,,,,,,,,,
Artemisia_absinthium_L,,Artemisia_absinthium_L,Compositae,,,Artemisia absinthium L,,,,XX-0-NEU-20160045,,,,,Artemisia absinthium L,,,,,,,,,
Artemisia_absinthium_L,,Artemisia_absinthium_L,Compositae,,,Artemisia absinthium L,,,,XX-0-NEU-20160044,,,,,Artemisia absinthium L,,,,,,,,,
Silene_vallesia_L,,Silene_vallesia_L,Caryophyllaceae,,,Silene vallesia L,,,,XX-0-NEU-20150063,,,,,Silene vallesia L,,,,,,,,,
Helictotrichon_sempervirens_VilL_Pilg,,Helictotrichon_sempervirens_VilL_Pilg,Poaceae,,,Helictotrichon sempervirens VilL Pilg,,,,XX-0-NEU-20150062,,,,,Helictotrichon sempervirens VilL Pilg,,,,,,,,,
Festuca_valesiaca_Gaudin,,Festuca_valesiaca_Gaudin,Poaceae,,,Festuca valesiaca Gaudin,,,,CH-0-NEU-20160041,,,,,Festuca valesiaca Gaudin,,,,,,,,,
Iris_pumila_L,,Iris_pumila_L,Iridaceae,,,Iris pumila L,,,,AT-0-NEU-20040134,,,,,Iris pumila L,,,,,,,,,
Paederota_lutea_Scop,,Paederota_lutea_Scop,Plantaginaceae,,,Paederota lutea Scop,,,,XX-0-NEU-20160035,,,,,Paederota lutea Scop,,,,,,,,,
Sempervivum_arachnoideum_L,,Sempervivum_arachnoideum_L,Crassulaceae,,,Sempervivum arachnoideum L,,,,XX-0-NEU-19500481,,,,,Sempervivum arachnoideum L,,,,,,,,,
Digitalis_trojana_Ivanina,,Digitalis_trojana_Ivanina,Plantaginaceae,,,Digitalis trojana Ivanina,,,,FR-0-Z-20170387,,,,,Digitalis trojana Ivanina,,,,,,,,,
